p = 191
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2886, targetH = 2886
used: Amax=136, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=307591.16 enum=107747.67 packets=11.08 reduce=118.95 merge=199635.42 setup=1630.63 iso=87.23
checks: packet_checked=625598 packet_merged=423663 f1_checked=218267753 f1_merged=424975 f1_classes=1574 slow_count=6 candidates=478130
bounds: old_min=96 old_median=11040 old_max=13056 new_min=14 new_median=22 new_max=96
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[46] 15 17 -2 -2 -1 -2  |  [ 15  (-2,-2,-1,-2) ; (-4,2,1,2)  17 ]  | det=1? true
[47] 17 18 -7 -1 -1 -2  |  [ 17  (-7,-1,-1,-2) ; (-9,1,1,2)  18 ]  | det=1? true
[48] 18 18 -7 -4 -1 -2  |  [ 18  (-7,-4,-1,-2) ; (-9,4,1,2)  18 ]  | det=1? true
[49] 3 17 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  17 ]  | det=1? true
[50] 12 19 -5 0 0 -2  |  [ 12  (-5,0,0,-2) ; (-7,0,0,2)  19 ]  | det=1? true
[51] 14 19 -7 -4 -2 0  |  [ 14  (-7,-4,-2,0) ; (-7,4,2,0)  19 ]  | det=1? true
[52] 16 20 -8 -7 -2 0  |  [ 16  (-8,-7,-2,0) ; (-8,7,2,0)  20 ]  | det=1? true
[53] 20 20 -3 0 -2 -2  |  [ 20  (-3,0,-2,-2) ; (-5,0,2,2)  20 ]  | det=1? true
[54] 11 19 -3 -1 0 -2  |  [ 11  (-3,-1,0,-2) ; (-5,1,0,2)  19 ]  | det=1? true
[55] 13 19 -2 0 -2 -1  |  [ 13  (-2,0,-2,-1) ; (-3,0,2,1)  19 ]  | det=1? true
[56] 15 19 -6 -4 -1 2  |  [ 15  (-6,-4,-1,2) ; (-4,4,1,-2)  19 ]  | det=1? true
[57] 19 19 -8 -6 -2 -1  |  [ 19  (-8,-6,-2,-1) ; (-9,6,2,1)  19 ]  | det=1? true
[58] 19 19 -9 -6 -2 1  |  [ 19  (-9,-6,-2,1) ; (-8,6,2,-1)  19 ]  | det=1? true
[59] 12 19 -6 1 -2 0  |  [ 12  (-6,1,-2,0) ; (-6,-1,2,0)  19 ]  | det=1? true
[60] 15 19 -4 -4 -1 -2  |  [ 15  (-4,-4,-1,-2) ; (-6,4,1,2)  19 ]  | det=1? true
[61] 12 20 0 1 -2 -1  |  [ 12  (0,1,-2,-1) ; (-1,-1,2,1)  20 ]  | det=1? true
[62] 12 20 -1 1 -2 1  |  [ 12  (-1,1,-2,1) ; (0,-1,2,-1)  20 ]  | det=1? true
[63] 13 20 -4 1 -2 -1  |  [ 13  (-4,1,-2,-1) ; (-5,-1,2,1)  20 ]  | det=1? true
[64] 13 20 -5 1 -2 1  |  [ 13  (-5,1,-2,1) ; (-4,-1,2,-1)  20 ]  | det=1? true
[65] 15 20 -7 -1 -2 -1  |  [ 15  (-7,-1,-2,-1) ; (-8,1,2,1)  20 ]  | det=1? true
[66] 18 20 -7 -7 -1 -2  |  [ 18  (-7,-7,-1,-2) ; (-9,7,1,2)  20 ]  | det=1? true
[67] 13 19 -3 0 -2 1  |  [ 13  (-3,0,-2,1) ; (-2,0,2,-1)  19 ]  | det=1? true
[68] 11 22 -5 -4 -2 0  |  [ 11  (-5,-4,-2,0) ; (-5,4,2,0)  22 ]  | det=1? true
[69] 12 21 -3 1 -2 -1  |  [ 12  (-3,1,-2,-1) ; (-4,-1,2,1)  21 ]  | det=1? true
[70] 12 21 -4 1 -2 1  |  [ 12  (-4,1,-2,1) ; (-3,-1,2,-1)  21 ]  | det=1? true
[71] 11 22 -1 1 -2 -1  |  [ 11  (-1,1,-2,-1) ; (-2,-1,2,1)  22 ]  | det=1? true
[72] 11 22 -2 1 -2 1  |  [ 11  (-2,1,-2,1) ; (-1,-1,2,-1)  22 ]  | det=1? true
[73] 13 22 -6 -1 -2 -1  |  [ 13  (-6,-1,-2,-1) ; (-7,1,2,1)  22 ]  | det=1? true
[74] 13 22 -7 -1 -2 1  |  [ 13  (-7,-1,-2,1) ; (-6,1,2,-1)  22 ]  | det=1? true
[75] 21 22 -5 -1 -3 0  |  [ 21  (-5,-1,-3,0) ; (-5,1,3,0)  22 ]  | det=1? true
[76] 19 21 -3 1 -2 -2  |  [ 19  (-3,1,-2,-2) ; (-5,-1,2,2)  21 ]  | det=1? true
[77] 21 21 -6 -2 -2 -2  |  [ 21  (-6,-2,-2,-2) ; (-8,2,2,2)  21 ]  | det=1? true
[78] 21 21 -8 -2 -2 2  |  [ 21  (-8,-2,-2,2) ; (-6,2,2,-2)  21 ]  | det=1? true
[79] 12 22 -6 -5 -2 0  |  [ 12  (-6,-5,-2,0) ; (-6,5,2,0)  22 ]  | det=1? true
[80] 12 22 -5 -1 -2 1  |  [ 12  (-5,-1,-2,1) ; (-4,1,2,-1)  22 ]  | det=1? true
[81] 13 22 -5 -3 -2 -1  |  [ 13  (-5,-3,-2,-1) ; (-6,3,2,1)  22 ]  | det=1? true
[82] 22 22 -9 0 -2 -2  |  [ 22  (-9,0,-2,-2) ; (-11,0,2,2)  22 ]  | det=1? true
[83] 5 21 -2 -1 -1 -1  |  [ 5  (-2,-1,-1,-1) ; (-3,1,1,1)  21 ]  | det=1? true
[84] 5 21 -3 -1 -1 1  |  [ 5  (-3,-1,-1,1) ; (-2,1,1,-1)  21 ]  | det=1? true
[85] 20 21 -5 0 -2 -2  |  [ 20  (-5,0,-2,-2) ; (-7,0,2,2)  21 ]  | det=1? true
[86] 20 21 -7 0 -2 2  |  [ 20  (-7,0,-2,2) ; (-5,0,2,-2)  21 ]  | det=1? true
[87] 12 22 -4 -1 -2 -1  |  [ 12  (-4,-1,-2,-1) ; (-5,1,2,1)  22 ]  | det=1? true
[88] 13 22 -6 -3 -2 1  |  [ 13  (-6,-3,-2,1) ; (-5,3,2,-1)  22 ]  | det=1? true
[89] 21 23 -7 -5 -2 -2  |  [ 21  (-7,-5,-2,-2) ; (-9,5,2,2)  23 ]  | det=1? true
[90] 12 23 -5 0 -1 -2  |  [ 12  (-5,0,-1,-2) ; (-7,0,1,2)  23 ]  | det=1? true
[91] 12 23 -7 0 -1 2  |  [ 12  (-7,0,-1,2) ; (-5,0,1,-2)  23 ]  | det=1? true
[92] 23 23 -10 -4 -2 -2  |  [ 23  (-10,-4,-2,-2) ; (-12,4,2,2)  23 ]  | det=1? true
[93] 23 23 -12 -4 -2 2  |  [ 23  (-12,-4,-2,2) ; (-10,4,2,-2)  23 ]  | det=1? true
[94] 23 23 -5 -3 -3 -1  |  [ 23  (-5,-3,-3,-1) ; (-6,3,3,1)  23 ]  | det=1? true
[95] 23 23 -6 -3 -3 1  |  [ 23  (-6,-3,-3,1) ; (-5,3,3,-1)  23 ]  | det=1? true
[96] 23 23 -4 -4 -1 -3  |  [ 23  (-4,-4,-1,-3) ; (-7,4,1,3)  23 ]  | det=1? true
[97] 23 23 -7 -4 -1 3  |  [ 23  (-7,-4,-1,3) ; (-4,4,1,-3)  23 ]  | det=1? true
[98] 18 24 -6 1 -2 -2  |  [ 18  (-6,1,-2,-2) ; (-8,-1,2,2)  24 ]  | det=1? true
[99] 18 24 -8 1 -2 2  |  [ 18  (-8,1,-2,2) ; (-6,-1,2,-2)  24 ]  | det=1? true
[100] 19 24 -7 -2 -2 -2  |  [ 19  (-7,-2,-2,-2) ; (-9,2,2,2)  24 ]  | det=1? true
[101] 19 24 -9 -2 -2 2  |  [ 19  (-9,-2,-2,2) ; (-7,2,2,-2)  24 ]  | det=1? true
[102] 11 23 -3 0 -2 -1  |  [ 11  (-3,0,-2,-1) ; (-4,0,2,1)  23 ]  | det=1? true
[103] 15 23 -7 -6 -2 -1  |  [ 15  (-7,-6,-2,-1) ; (-8,6,2,1)  23 ]  | det=1? true
[104] 15 23 -8 -6 -2 1  |  [ 15  (-8,-6,-2,1) ; (-7,6,2,-1)  23 ]  | det=1? true
[105] 20 23 -3 -3 0 -3  |  [ 20  (-3,-3,0,-3) ; (-6,3,0,3)  23 ]  | det=1? true
[106] 21 23 -9 1 -2 -2  |  [ 21  (-9,1,-2,-2) ; (-11,-1,2,2)  23 ]  | det=1? true
[107] 21 23 -1 0 -3 -1  |  [ 21  (-1,0,-3,-1) ; (-2,0,3,1)  23 ]  | det=1? true
[108] 21 23 -2 0 -3 1  |  [ 21  (-2,0,-3,1) ; (-1,0,3,-1)  23 ]  | det=1? true
[109] 11 24 -4 -1 -2 -1  |  [ 11  (-4,-1,-2,-1) ; (-5,1,2,1)  24 ]  | det=1? true
[110] 11 24 -5 -1 -2 1  |  [ 11  (-5,-1,-2,1) ; (-4,1,2,-1)  24 ]  | det=1? true
[111] 17 24 -3 -2 -2 -2  |  [ 17  (-3,-2,-2,-2) ; (-5,2,2,2)  24 ]  | det=1? true
[112] 17 24 -5 -2 -2 2  |  [ 17  (-5,-2,-2,2) ; (-3,2,2,-2)  24 ]  | det=1? true
[113] 22 24 -8 -7 -2 -2  |  [ 22  (-8,-7,-2,-2) ; (-10,7,2,2)  24 ]  | det=1? true
[114] 22 24 -10 -7 -2 2  |  [ 22  (-10,-7,-2,2) ; (-8,7,2,-2)  24 ]  | det=1? true
[115] 11 23 -4 0 -2 1  |  [ 11  (-4,0,-2,1) ; (-3,0,2,-1)  23 ]  | det=1? true
[116] 8 24 0 1 -2 0  |  [ 8  (0,1,-2,0) ; (0,-1,2,0)  24 ]  | det=1? true
[117] 16 24 0 1 -2 -2  |  [ 16  (0,1,-2,-2) ; (-2,-1,2,2)  24 ]  | det=1? true
[118] 17 24 -4 1 -2 -2  |  [ 17  (-4,1,-2,-2) ; (-6,-1,2,2)  24 ]  | det=1? true
[119] 17 24 -6 1 -2 2  |  [ 17  (-6,1,-2,2) ; (-4,-1,2,-2)  24 ]  | det=1? true
[120] 24 24 -11 -6 -2 -2  |  [ 24  (-11,-6,-2,-2) ; (-13,6,2,2)  24 ]  | det=1? true
[121] 24 24 -13 -6 -2 2  |  [ 24  (-13,-6,-2,2) ; (-11,6,2,-2)  24 ]  | det=1? true
