p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
23	1	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	1	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	1	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[-1, 0, 0, -1, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	1	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	13	[-1, 2, 0, -2, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	1	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	7	[-1, 1, 0, -5, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	2	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	2	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	2	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	9	[-1, 0, 1, 1, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	2	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	10	[-2, -1, 0, 1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	2	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	44	[-2, -1, 1, 3, -5]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	3	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	3	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	3	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	9	[0, 1, 0, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	3	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	9	[-1, 0, 0, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	3	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[0, -2, -1, -1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	4	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	4	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	4	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	7	[0, 0, 1, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	4	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[-1, 0, 1, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	4	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[0, 0, 1, -3, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	5	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
