p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
23	5	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	5	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	31	[-1, -1, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	5	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[-2, 0, -2, -1, 0]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	5	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	882	[-4, -1, -4, -1, -1]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	6	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	6	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[0, 0, -1, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	6	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	33	[-2, -1, -1, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	6	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[0, -1, -2, -2, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	6	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[-1, -2, -3, -2, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	7	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	7	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, -1, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	7	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[-1, -1, 0, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	7	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[0, 0, 0, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	7	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	10	[0, -1, -2, -1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	8	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	8	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	8	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[-2, 0, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	8	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	9	[-3, 0, 1, 0, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	8	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[-2, 0, 1, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	9	4	1	[1, 3, 4]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	9	4	1	[1, 3, 4]	3	1	FOUND	YES_EXACT	6	[-1, -1, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	9	4	1	[1, 3, 4]	3	2	NOT_FOUND	NO_EXACT	110		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	9	4	1	[1, 3, 4]	3	3	FOUND	YES_EXACT	6	[-3, -2, 0, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
23	9	4	1	[1, 3, 4]	3	4	FOUND	YES_EXACT	16	[-5, 0, 3, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
