p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
11	1	3	1	[1, 2, 3]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	1	3	1	[1, 2, 3]	3	1	FOUND	YES_EXACT	7	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	1	3	1	[1, 2, 3]	3	2	FOUND	YES_EXACT	6	[0, 0, -2, -1, 1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	1	3	1	[1, 2, 3]	3	3	FOUND	YES_EXACT	6	[-1, 0, -4, -2, 1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	2	3	1	[1, 2, 3]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	2	3	1	[1, 2, 3]	3	1	FOUND	YES_EXACT	6	[0, 0, 0, -1, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	2	3	1	[1, 2, 3]	3	2	FOUND	YES_EXACT	6	[-1, 0, 0, -1, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
11	2	3	1	[1, 2, 3]	3	3	FOUND	YES_EXACT	6	[-1, 0, 0, -3, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
