p = 167
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 1978, targetH = 1978
used: Amax=120, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=132329.84 enum=47389.52 packets=6.37 reduce=53.76 merge=84852.99 setup=444.76 iso=80.2
checks: packet_checked=483542 packet_merged=325711 f1_checked=117140426 f1_merged=326607 f1_classes=1082 slow_count=4 candidates=333415
bounds: old_min=84 old_median=8484 old_max=10080 new_min=14 new_median=22 new_max=84
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 7 7 -2 0 0 -1  |  [ 7  (-2,0,0,-1) ; (-3,0,0,1)  7 ]  | det=1? true
[3] 7 7 -2 -1 -1 0  |  [ 7  (-2,-1,-1,0) ; (-2,1,1,0)  7 ]  | det=1? true
[4] 7 8 -3 -1 0 -1  |  [ 7  (-3,-1,0,-1) ; (-4,1,0,1)  8 ]  | det=1? true
[5] 8 8 -3 -3 0 -1  |  [ 8  (-3,-3,0,-1) ; (-4,3,0,1)  8 ]  | det=1? true
[6] 5 9 -1 0 0 -1  |  [ 5  (-1,0,0,-1) ; (-2,0,0,1)  9 ]  | det=1? true
[7] 6 9 -3 -1 -1 0  |  [ 6  (-3,-1,-1,0) ; (-3,1,1,0)  9 ]  | det=1? true
[8] 5 10 -2 -1 0 -1  |  [ 5  (-2,-1,0,-1) ; (-3,1,0,1)  10 ]  | det=1? true
[9] 4 11 -1 0 -1 0  |  [ 4  (-1,0,-1,0) ; (-1,0,1,0)  11 ]  | det=1? true
[10] 9 11 -4 -1 -1 1  |  [ 9  (-4,-1,-1,1) ; (-3,1,1,-1)  11 ]  | det=1? true
[11] 11 11 -5 -2 -1 -1  |  [ 11  (-5,-2,-1,-1) ; (-6,2,1,1)  11 ]  | det=1? true
[12] 11 11 -6 -2 -1 1  |  [ 11  (-6,-2,-1,1) ; (-5,2,1,-1)  11 ]  | det=1? true
[13] 9 11 -3 -1 -1 -1  |  [ 9  (-3,-1,-1,-1) ; (-4,1,1,1)  11 ]  | det=1? true
[14] 13 13 0 0 0 -2  |  [ 13  (0,0,0,-2) ; (-2,0,0,2)  13 ]  | det=1? true
[15] 7 13 -2 0 -1 -1  |  [ 7  (-2,0,-1,-1) ; (-3,0,1,1)  13 ]  | det=1? true
[16] 7 13 -3 0 -1 1  |  [ 7  (-3,0,-1,1) ; (-2,0,1,-1)  13 ]  | det=1? true
[17] 13 13 -8 -3 -1 -1  |  [ 13  (-8,-3,-1,-1) ; (-9,3,1,1)  13 ]  | det=1? true
[18] 9 13 -5 -3 -1 1  |  [ 9  (-5,-3,-1,1) ; (-4,3,1,-1)  13 ]  | det=1? true
[19] 13 13 -6 -6 -1 -1  |  [ 13  (-6,-6,-1,-1) ; (-7,6,1,1)  13 ]  | det=1? true
[20] 15 15 -2 -2 -1 -2  |  [ 15  (-2,-2,-1,-2) ; (-4,2,1,2)  15 ]  | det=1? true
[21] 15 15 -4 -2 -1 2  |  [ 15  (-4,-2,-1,2) ; (-2,2,1,-2)  15 ]  | det=1? true
[22] 11 16 -2 -1 -2 0  |  [ 11  (-2,-1,-2,0) ; (-2,1,2,0)  16 ]  | det=1? true
[23] 13 16 -6 -1 -2 0  |  [ 13  (-6,-1,-2,0) ; (-6,1,2,0)  16 ]  | det=1? true
[24] 15 16 -5 1 -2 -1  |  [ 15  (-5,1,-2,-1) ; (-6,-1,2,1)  16 ]  | det=1? true
[25] 15 16 -6 1 -2 1  |  [ 15  (-6,1,-2,1) ; (-5,-1,2,-1)  16 ]  | det=1? true
[26] 14 15 0 1 -2 -1  |  [ 14  (0,1,-2,-1) ; (-1,-1,2,1)  15 ]  | det=1? true
[27] 16 16 -5 -3 -2 -1  |  [ 16  (-5,-3,-2,-1) ; (-6,3,2,1)  16 ]  | det=1? true
[28] 16 16 -6 -3 -2 1  |  [ 16  (-6,-3,-2,1) ; (-5,3,2,-1)  16 ]  | det=1? true
[29] 16 16 -6 -1 -2 -1  |  [ 16  (-6,-1,-2,-1) ; (-7,1,2,1)  16 ]  | det=1? true
[30] 3 15 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  15 ]  | det=1? true
[31] 12 17 -5 0 0 -2  |  [ 12  (-5,0,0,-2) ; (-7,0,0,2)  17 ]  | det=1? true
[32] 12 18 -2 1 -2 -1  |  [ 12  (-2,1,-2,-1) ; (-3,-1,2,1)  18 ]  | det=1? true
[33] 12 18 -3 1 -2 1  |  [ 12  (-3,1,-2,1) ; (-2,-1,2,-1)  18 ]  | det=1? true
[34] 17 17 -6 -5 -1 -2  |  [ 17  (-6,-5,-1,-2) ; (-8,5,1,2)  17 ]  | det=1? true
[35] 13 18 -4 -1 -2 -1  |  [ 13  (-4,-1,-2,-1) ; (-5,1,2,1)  18 ]  | det=1? true
[36] 13 18 -5 -1 -2 1  |  [ 13  (-5,-1,-2,1) ; (-4,1,2,-1)  18 ]  | det=1? true
[37] 14 18 -6 1 -2 -1  |  [ 14  (-6,1,-2,-1) ; (-7,-1,2,1)  18 ]  | det=1? true
[38] 14 18 -7 1 -2 1  |  [ 14  (-7,1,-2,1) ; (-6,-1,2,-1)  18 ]  | det=1? true
[39] 10 17 -1 0 -2 0  |  [ 10  (-1,0,-2,0) ; (-1,0,2,0)  17 ]  | det=1? true
[40] 14 17 -3 -3 -1 -2  |  [ 14  (-3,-3,-1,-2) ; (-5,3,1,2)  17 ]  | det=1? true
[41] 15 18 -7 -1 -2 -1  |  [ 15  (-7,-1,-2,-1) ; (-8,1,2,1)  18 ]  | det=1? true
[42] 12 17 -6 1 -2 0  |  [ 12  (-6,1,-2,0) ; (-6,-1,2,0)  17 ]  | det=1? true
[43] 14 17 -5 -3 -1 2  |  [ 14  (-5,-3,-1,2) ; (-3,3,1,-2)  17 ]  | det=1? true
[44] 15 17 -4 -4 -1 -2  |  [ 15  (-4,-4,-1,-2) ; (-6,4,1,2)  17 ]  | det=1? true
[45] 15 17 -6 -4 -1 2  |  [ 15  (-6,-4,-1,2) ; (-4,4,1,-2)  17 ]  | det=1? true
[46] 14 18 -5 -2 -1 -2  |  [ 14  (-5,-2,-1,-2) ; (-7,2,1,2)  18 ]  | det=1? true
[47] 16 18 -7 -5 -2 1  |  [ 16  (-7,-5,-2,1) ; (-6,5,2,-1)  18 ]  | det=1? true
