p = 131
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 1008, targetH = 1008
used: Amax=88, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=33403.16 enum=5392.52 packets=2.01 reduce=12.91 merge=27991.16 setup=23861.88 iso=176.82
checks: checked=43547132 merged=105531 slow_count=1919 candidates=124990
bounds: old_min=66 old_median=4884 old_max=5808 new_min=12 new_median=18 new_max=66
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 6 6 -1 0 0 -1  |  [ 6  (-1,0,0,-1) ; (-2,0,0,1)  6 ]  | det=1? true
[3] 5 7 -1 0 -1 0  |  [ 5  (-1,0,-1,0) ; (-1,0,1,0)  7 ]  | det=1? true
[4] 7 7 -3 -2 -1 0  |  [ 7  (-3,-2,-1,0) ; (-3,2,1,0)  7 ]  | det=1? true
[5] 5 8 -2 0 0 -1  |  [ 5  (-2,0,0,-1) ; (-3,0,0,1)  8 ]  | det=1? true
[6] 5 8 -2 -1 -1 0  |  [ 5  (-2,-1,-1,0) ; (-2,1,1,0)  8 ]  | det=1? true
[7] 4 9 -1 0 0 -1  |  [ 4  (-1,0,0,-1) ; (-2,0,0,1)  9 ]  | det=1? true
[8] 9 9 -3 -1 -1 -1  |  [ 9  (-3,-1,-1,-1) ; (-4,1,1,1)  9 ]  | det=1? true
[9] 9 9 -4 -1 -1 1  |  [ 9  (-4,-1,-1,1) ; (-3,1,1,-1)  9 ]  | det=1? true
[10] 4 10 -2 -1 -1 0  |  [ 4  (-2,-1,-1,0) ; (-2,1,1,0)  10 ]  | det=1? true
[11] 9 11 -4 -3 -1 -1  |  [ 9  (-4,-3,-1,-1) ; (-5,3,1,1)  11 ]  | det=1? true
[12] 9 11 -5 -3 -1 1  |  [ 9  (-5,-3,-1,1) ; (-4,3,1,-1)  11 ]  | det=1? true
[13] 11 12 0 1 -2 0  |  [ 11  (0,1,-2,0) ; (0,-1,2,0)  12 ]  | det=1? true
[14] 3 12 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  12 ]  | det=1? true
[15] 13 13 -6 0 -2 0  |  [ 13  (-6,0,-2,0) ; (-6,0,2,0)  13 ]  | det=1? true
[16] 12 14 -5 0 0 -2  |  [ 12  (-5,0,0,-2) ; (-7,0,0,2)  14 ]  | det=1? true
[17] 13 13 -1 0 -1 -2  |  [ 13  (-1,0,-1,-2) ; (-3,0,1,2)  13 ]  | det=1? true
[18] 13 13 -3 0 -1 2  |  [ 13  (-3,0,-1,2) ; (-1,0,1,-2)  13 ]  | det=1? true
[19] 14 14 -4 -2 -1 -2  |  [ 14  (-4,-2,-1,-2) ; (-6,2,1,2)  14 ]  | det=1? true
[20] 14 14 -6 -2 -1 2  |  [ 14  (-6,-2,-1,2) ; (-4,2,1,-2)  14 ]  | det=1? true
[21] 13 13 -9 -3 -1 -1  |  [ 13  (-9,-3,-1,-1) ; (-10,3,1,1)  13 ]  | det=1? true
[22] 13 13 -5 -1 0 -2  |  [ 13  (-5,-1,0,-2) ; (-7,1,0,2)  13 ]  | det=1? true
[23] 12 14 -1 0 -2 -1  |  [ 12  (-1,0,-2,-1) ; (-2,0,2,1)  14 ]  | det=1? true
[24] 14 14 -5 0 -2 -1  |  [ 14  (-5,0,-2,-1) ; (-6,0,2,1)  14 ]  | det=1? true
[25] 14 14 -6 0 -2 1  |  [ 14  (-6,0,-2,1) ; (-5,0,2,-1)  14 ]  | det=1? true
[26] 14 15 -4 -4 -1 -2  |  [ 14  (-4,-4,-1,-2) ; (-6,4,1,2)  15 ]  | det=1? true
[27] 14 15 -6 -4 -1 2  |  [ 14  (-6,-4,-1,2) ; (-4,4,1,-2)  15 ]  | det=1? true
[28] 5 15 -2 -1 -1 -1  |  [ 5  (-2,-1,-1,-1) ; (-3,1,1,1)  15 ]  | det=1? true
[29] 5 15 -3 -1 -1 1  |  [ 5  (-3,-1,-1,1) ; (-2,1,1,-1)  15 ]  | det=1? true
[30] 11 15 0 1 -2 -1  |  [ 11  (0,1,-2,-1) ; (-1,-1,2,1)  15 ]  | det=1? true
[31] 11 15 -1 1 -2 1  |  [ 11  (-1,1,-2,1) ; (0,-1,2,-1)  15 ]  | det=1? true
[32] 13 15 -5 1 -2 -1  |  [ 13  (-5,1,-2,-1) ; (-6,-1,2,1)  15 ]  | det=1? true
[33] 15 15 -7 -1 -2 -1  |  [ 15  (-7,-1,-2,-1) ; (-8,1,2,1)  15 ]  | det=1? true
[34] 11 16 -2 -1 -1 -2  |  [ 11  (-2,-1,-1,-2) ; (-4,1,1,2)  16 ]  | det=1? true
[35] 11 16 -4 -1 -1 2  |  [ 11  (-4,-1,-1,2) ; (-2,1,1,-2)  16 ]  | det=1? true
[36] 12 15 -2 -2 -1 -2  |  [ 12  (-2,-2,-1,-2) ; (-4,2,1,2)  15 ]  | det=1? true
[37] 12 15 -4 -2 -1 2  |  [ 12  (-4,-2,-1,2) ; (-2,2,1,-2)  15 ]  | det=1? true
[38] 16 16 -6 -6 -1 -2  |  [ 16  (-6,-6,-1,-2) ; (-8,6,1,2)  16 ]  | det=1? true
[39] 16 16 -8 -6 -1 2  |  [ 16  (-8,-6,-1,2) ; (-6,6,1,-2)  16 ]  | det=1? true
[40] 12 16 -4 -1 -1 -2  |  [ 12  (-4,-1,-1,-2) ; (-6,1,1,2)  16 ]  | det=1? true
[41] 12 16 -6 -1 -1 2  |  [ 12  (-6,-1,-1,2) ; (-4,1,1,-2)  16 ]  | det=1? true
[42] 18 18 -4 -2 -3 0  |  [ 18  (-4,-2,-3,0) ; (-4,2,3,0)  18 ]  | det=1? true
[43] 12 17 -6 -5 -2 0  |  [ 12  (-6,-5,-2,0) ; (-6,5,2,0)  17 ]  | det=1? true
[44] 12 17 -5 -2 -2 -1  |  [ 12  (-5,-2,-2,-1) ; (-6,2,2,1)  17 ]  | det=1? true
[45] 12 17 -6 -2 -2 1  |  [ 12  (-6,-2,-2,1) ; (-5,2,2,-1)  17 ]  | det=1? true
[46] 13 17 -5 -4 -1 -2  |  [ 13  (-5,-4,-1,-2) ; (-7,4,1,2)  17 ]  | det=1? true
[47] 13 17 -7 -4 -1 2  |  [ 13  (-7,-4,-1,2) ; (-5,4,1,-2)  17 ]  | det=1? true
[48] 17 18 -1 -2 0 -3  |  [ 17  (-1,-2,0,-3) ; (-4,2,0,3)  18 ]  | det=1? true
[49] 11 17 -3 -2 -1 -2  |  [ 11  (-3,-2,-1,-2) ; (-5,2,1,2)  17 ]  | det=1? true
[50] 17 17 -4 0 -2 -2  |  [ 17  (-4,0,-2,-2) ; (-6,0,2,2)  17 ]  | det=1? true
[51] 17 17 -6 0 -2 2  |  [ 17  (-6,0,-2,2) ; (-4,0,2,-2)  17 ]  | det=1? true
[52] 15 18 -7 -6 -2 -1  |  [ 15  (-7,-6,-2,-1) ; (-8,6,2,1)  18 ]  | det=1? true
[53] 15 18 -8 -6 -2 1  |  [ 15  (-8,-6,-2,1) ; (-7,6,2,-1)  18 ]  | det=1? true
[54] 16 18 -3 -2 -2 -2  |  [ 16  (-3,-2,-2,-2) ; (-5,2,2,2)  18 ]  | det=1? true
