p = 83
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 296, targetH = 296, reps_seen = 72103
used: Amax=68, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=9324.01 enum=1276.23 packets=1.32 reduce=21.05 merge=8020.13 setup=6504.47 iso=105.53
checks: checked=9429856 merged=71807 slow_count=467 candidates=72103
bounds: old_min=42 old_median=2394 old_max=2856 new_min=10 new_median=14 new_max=42
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[47] 10 15 -4 -4 -1 -2  |  [ 10  (-4,-4,-1,-2) ; (-6,4,1,2)  15 ]  | det=1? true
[48] 10 15 -6 -4 -1 2  |  [ 10  (-6,-4,-1,2) ; (-4,4,1,-2)  15 ]  | det=1? true
[49] 11 16 -2 1 -2 -2  |  [ 11  (-2,1,-2,-2) ; (-4,-1,2,2)  16 ]  | det=1? true
[50] 11 16 -4 1 -2 2  |  [ 11  (-4,1,-2,2) ; (-2,-1,2,-2)  16 ]  | det=1? true
[51] 12 15 -2 -1 -2 -2  |  [ 12  (-2,-1,-2,-2) ; (-4,1,2,2)  15 ]  | det=1? true
[52] 12 15 -4 -1 -2 2  |  [ 12  (-4,-1,-2,2) ; (-2,1,2,-2)  15 ]  | det=1? true
[53] 12 16 -4 1 -2 -2  |  [ 12  (-4,1,-2,-2) ; (-6,-1,2,2)  16 ]  | det=1? true
[54] 12 16 -6 1 -2 2  |  [ 12  (-6,1,-2,2) ; (-4,-1,2,-2)  16 ]  | det=1? true
[55] 12 16 -3 -2 -2 -2  |  [ 12  (-3,-2,-2,-2) ; (-5,2,2,2)  16 ]  | det=1? true
[56] 12 16 -5 -2 -2 2  |  [ 12  (-5,-2,-2,2) ; (-3,2,2,-2)  16 ]  | det=1? true
[57] 13 16 -4 -3 -2 -2  |  [ 13  (-4,-3,-2,-2) ; (-6,3,2,2)  16 ]  | det=1? true
[58] 13 16 -6 -3 -2 2  |  [ 13  (-6,-3,-2,2) ; (-4,3,2,-2)  16 ]  | det=1? true
[59] 15 15 -6 -2 -2 -2  |  [ 15  (-6,-2,-2,-2) ; (-8,2,2,2)  15 ]  | det=1? true
[60] 15 15 -8 -2 -2 2  |  [ 15  (-8,-2,-2,2) ; (-6,2,2,-2)  15 ]  | det=1? true
[61] 16 16 -7 -4 -2 -2  |  [ 16  (-7,-4,-2,-2) ; (-9,4,2,2)  16 ]  | det=1? true
[62] 16 16 -9 -4 -2 2  |  [ 16  (-9,-4,-2,2) ; (-7,4,2,-2)  16 ]  | det=1? true
[63] 6 17 -3 -2 -2 0  |  [ 6  (-3,-2,-2,0) ; (-3,2,2,0)  17 ]  | det=1? true
[64] 6 18 -1 0 -2 -1  |  [ 6  (-1,0,-2,-1) ; (-2,0,2,1)  18 ]  | det=1? true
[65] 6 18 -2 0 -2 1  |  [ 6  (-2,0,-2,1) ; (-1,0,2,-1)  18 ]  | det=1? true
[66] 7 18 -3 -2 -2 -1  |  [ 7  (-3,-2,-2,-1) ; (-4,2,2,1)  18 ]  | det=1? true
[67] 7 18 -4 -2 -2 1  |  [ 7  (-4,-2,-2,1) ; (-3,2,2,-1)  18 ]  | det=1? true
[68] 11 17 -3 -1 -2 -2  |  [ 11  (-3,-1,-2,-2) ; (-5,1,2,2)  17 ]  | det=1? true
[69] 11 17 -5 -1 -2 2  |  [ 11  (-5,-1,-2,2) ; (-3,1,2,-2)  17 ]  | det=1? true
[70] 11 18 -1 -2 0 -3  |  [ 11  (-1,-2,0,-3) ; (-4,2,0,3)  18 ]  | det=1? true
[71] 13 17 -3 1 -3 -1  |  [ 13  (-3,1,-3,-1) ; (-4,-1,3,1)  17 ]  | det=1? true
[72] 13 17 -4 1 -3 1  |  [ 13  (-4,1,-3,1) ; (-3,-1,3,-1)  17 ]  | det=1? true
[73] 13 17 -2 0 -1 -3  |  [ 13  (-2,0,-1,-3) ; (-5,0,1,3)  17 ]  | det=1? true
[74] 13 17 -2 -1 -3 -1  |  [ 13  (-2,-1,-3,-1) ; (-3,1,3,1)  17 ]  | det=1? true
[75] 14 18 -6 -5 -2 -2  |  [ 14  (-6,-5,-2,-2) ; (-8,5,2,2)  18 ]  | det=1? true
[76] 14 18 -8 -5 -2 2  |  [ 14  (-8,-5,-2,2) ; (-6,5,2,-2)  18 ]  | det=1? true
[77] 16 17 0 1 -3 -2  |  [ 16  (0,1,-3,-2) ; (-2,-1,3,2)  17 ]  | det=1? true
[78] 17 17 -3 0 -3 -2  |  [ 17  (-3,0,-3,-2) ; (-5,0,3,2)  17 ]  | det=1? true
[79] 17 17 -5 0 -3 2  |  [ 17  (-5,0,-3,2) ; (-3,0,3,-2)  17 ]  | det=1? true
[80] 6 19 -2 0 -1 -2  |  [ 6  (-2,0,-1,-2) ; (-4,0,1,2)  19 ]  | det=1? true
[81] 6 19 -4 0 -1 2  |  [ 6  (-4,0,-1,2) ; (-2,0,1,-2)  19 ]  | det=1? true
[82] 11 19 0 1 -3 -1  |  [ 11  (0,1,-3,-1) ; (-1,-1,3,1)  19 ]  | det=1? true
[83] 12 19 -5 -4 -2 -2  |  [ 12  (-5,-4,-2,-2) ; (-7,4,2,2)  19 ]  | det=1? true
[84] 14 20 -2 1 -3 -2  |  [ 14  (-2,1,-3,-2) ; (-4,-1,3,2)  20 ]  | det=1? true
[85] 14 20 -4 1 -3 2  |  [ 14  (-4,1,-3,2) ; (-2,-1,3,-2)  20 ]  | det=1? true
[86] 15 19 -7 -3 -3 -1  |  [ 15  (-7,-3,-3,-1) ; (-8,3,3,1)  19 ]  | det=1? true
[87] 15 19 -8 -3 -3 1  |  [ 15  (-8,-3,-3,1) ; (-7,3,3,-1)  19 ]  | det=1? true
[88] 15 19 -6 -4 -1 -3  |  [ 15  (-6,-4,-1,-3) ; (-9,4,1,3)  19 ]  | det=1? true
[89] 15 19 -9 -4 -1 3  |  [ 15  (-9,-4,-1,3) ; (-6,4,1,-3)  19 ]  | det=1? true
[90] 16 20 -6 1 -3 -2  |  [ 16  (-6,1,-3,-2) ; (-8,-1,3,2)  20 ]  | det=1? true
[91] 16 20 -8 1 -3 2  |  [ 16  (-8,1,-3,2) ; (-6,-1,3,-2)  20 ]  | det=1? true
[92] 17 19 -8 -5 -3 -1  |  [ 17  (-8,-5,-3,-1) ; (-9,5,3,1)  19 ]  | det=1? true
[93] 17 19 -9 -5 -3 1  |  [ 17  (-9,-5,-3,1) ; (-8,5,3,-1)  19 ]  | det=1? true
[94] 17 19 -7 -6 -1 -3  |  [ 17  (-7,-6,-1,-3) ; (-10,6,1,3)  19 ]  | det=1? true
[95] 17 20 -6 -3 -3 -2  |  [ 17  (-6,-3,-3,-2) ; (-8,3,3,2)  20 ]  | det=1? true
[96] 17 20 -8 -3 -3 2  |  [ 17  (-8,-3,-3,2) ; (-6,3,3,-2)  20 ]  | det=1? true
[97] 20 20 -6 0 -4 -1  |  [ 20  (-6,0,-4,-1) ; (-7,0,4,1)  20 ]  | det=1? true
[98] 20 20 -7 0 -4 1  |  [ 20  (-7,0,-4,1) ; (-6,0,4,-1)  20 ]  | det=1? true
[99] 4 22 -2 1 -2 0  |  [ 4  (-2,1,-2,0) ; (-2,-1,2,0)  22 ]  | det=1? true
[100] 5 21 0 1 -2 -1  |  [ 5  (0,1,-2,-1) ; (-1,-1,2,1)  21 ]  | det=1? true
[101] 5 21 -1 1 -2 1  |  [ 5  (-1,1,-2,1) ; (0,-1,2,-1)  21 ]  | det=1? true
[102] 8 21 0 1 -2 -2  |  [ 8  (0,1,-2,-2) ; (-2,-1,2,2)  21 ]  | det=1? true
[103] 8 21 -2 1 -2 2  |  [ 8  (-2,1,-2,2) ; (0,-1,2,-2)  21 ]  | det=1? true
[104] 8 22 -2 1 -2 -2  |  [ 8  (-2,1,-2,-2) ; (-4,-1,2,2)  22 ]  | det=1? true
[105] 8 22 -4 1 -2 2  |  [ 8  (-4,1,-2,2) ; (-2,-1,2,-2)  22 ]  | det=1? true
[106] 11 21 -3 -1 -1 -3  |  [ 11  (-3,-1,-1,-3) ; (-6,1,1,3)  21 ]  | det=1? true
[107] 11 21 -6 -1 -1 3  |  [ 11  (-6,-1,-1,3) ; (-3,1,1,-3)  21 ]  | det=1? true
[108] 13 21 0 1 -2 -3  |  [ 13  (0,1,-2,-3) ; (-3,-1,2,3)  21 ]  | det=1? true
[109] 13 21 -3 1 -2 3  |  [ 13  (-3,1,-2,3) ; (0,-1,2,-3)  21 ]  | det=1? true
[110] 13 22 -2 -1 -3 -2  |  [ 13  (-2,-1,-3,-2) ; (-4,1,3,2)  22 ]  | det=1? true
[111] 13 22 -4 -1 -3 2  |  [ 13  (-4,-1,-3,2) ; (-2,1,3,-2)  22 ]  | det=1? true
[112] 14 22 -4 -2 -3 -2  |  [ 14  (-4,-2,-3,-2) ; (-6,2,3,2)  22 ]  | det=1? true
[113] 14 22 -6 -2 -3 2  |  [ 14  (-6,-2,-3,2) ; (-4,2,3,-2)  22 ]  | det=1? true
[114] 16 21 -6 -2 -2 -3  |  [ 16  (-6,-2,-2,-3) ; (-9,2,2,3)  21 ]  | det=1? true
[115] 16 22 -6 -4 -2 -3  |  [ 16  (-6,-4,-2,-3) ; (-9,4,2,3)  22 ]  | det=1? true
[116] 16 22 -9 -4 -2 3  |  [ 16  (-9,-4,-2,3) ; (-6,4,2,-3)  22 ]  | det=1? true
[117] 17 22 -4 2 -4 -1  |  [ 17  (-4,2,-4,-1) ; (-5,-2,4,1)  22 ]  | det=1? true
[118] 17 22 -5 2 -4 1  |  [ 17  (-5,2,-4,1) ; (-4,-2,4,-1)  22 ]  | det=1? true
[119] 18 21 -4 0 -4 -1  |  [ 18  (-4,0,-4,-1) ; (-5,0,4,1)  21 ]  | det=1? true
[120] 18 22 -6 2 -4 -1  |  [ 18  (-6,2,-4,-1) ; (-7,-2,4,1)  22 ]  | det=1? true
[121] 18 22 -7 2 -4 1  |  [ 18  (-7,2,-4,1) ; (-6,-2,4,-1)  22 ]  | det=1? true
[122] 18 22 -4 -2 -1 -4  |  [ 18  (-4,-2,-1,-4) ; (-8,2,1,4)  22 ]  | det=1? true
[123] 18 22 -8 -2 -1 4  |  [ 18  (-8,-2,-1,4) ; (-4,2,1,-4)  22 ]  | det=1? true
[124] 19 21 -2 -2 -3 -3  |  [ 19  (-2,-2,-3,-3) ; (-5,2,3,3)  21 ]  | det=1? true
[125] 19 22 -6 0 -1 -4  |  [ 19  (-6,0,-1,-4) ; (-10,0,1,4)  22 ]  | det=1? true
[126] 19 22 0 1 -4 -2  |  [ 19  (0,1,-4,-2) ; (-2,-1,4,2)  22 ]  | det=1? true
[127] 20 21 -6 -1 -1 -4  |  [ 20  (-6,-1,-1,-4) ; (-10,1,1,4)  21 ]  | det=1? true
[128] 20 21 -10 -1 -1 4  |  [ 20  (-10,-1,-1,4) ; (-6,1,1,-4)  21 ]  | det=1? true
[129] 21 21 -7 -2 -1 -4  |  [ 21  (-7,-2,-1,-4) ; (-11,2,1,4)  21 ]  | det=1? true
[130] 21 21 -11 -2 -1 4  |  [ 21  (-11,-2,-1,4) ; (-7,2,1,-4)  21 ]  | det=1? true
[131] 21 21 -3 1 -2 -4  |  [ 21  (-3,1,-2,-4) ; (-7,-1,2,4)  21 ]  | det=1? true
[132] 21 21 -7 1 -2 4  |  [ 21  (-7,1,-2,4) ; (-3,-1,2,-4)  21 ]  | det=1? true
[133] 21 21 -3 -1 -4 -2  |  [ 21  (-3,-1,-4,-2) ; (-5,1,4,2)  21 ]  | det=1? true
[134] 21 21 -2 -2 -2 -4  |  [ 21  (-2,-2,-2,-4) ; (-6,2,2,4)  21 ]  | det=1? true
