p = 23
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 16, targetH = 16, reps_seen = 1572
used: Amax=18, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=9.58 enum=0.8 packets=0.02 reduce=0.3 merge=8.45 setup=2.82 iso=0.08
checks: checked=11139 merged=1556 slow_count=0 candidates=1572
bounds: old_min=12 old_median=180 old_max=216 new_min=6 new_median=8 new_max=12
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 3 3 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  3 ]  | det=1? true
[3] 2 4 -1 0 -1 0  |  [ 2  (-1,0,-1,0) ; (-1,0,1,0)  4 ]  | det=1? true
[4] 3 5 -1 0 -1 -1  |  [ 3  (-1,0,-1,-1) ; (-2,0,1,1)  5 ]  | det=1? true
[5] 3 5 -2 0 -1 1  |  [ 3  (-2,0,-1,1) ; (-1,0,1,-1)  5 ]  | det=1? true
[6] 5 5 -2 -2 -1 -1  |  [ 5  (-2,-2,-1,-1) ; (-3,2,1,1)  5 ]  | det=1? true
[7] 5 5 0 0 0 -2  |  [ 5  (0,0,0,-2) ; (-2,0,0,2)  5 ]  | det=1? true
[8] 5 6 0 1 -2 -1  |  [ 5  (0,1,-2,-1) ; (-1,-1,2,1)  6 ]  | det=1? true
[9] 6 6 -1 -1 -1 -2  |  [ 6  (-1,-1,-1,-2) ; (-3,1,1,2)  6 ]  | det=1? true
[10] 6 7 -3 -2 -2 0  |  [ 6  (-3,-2,-2,0) ; (-3,2,2,0)  7 ]  | det=1? true
[11] 7 7 0 0 -2 -2  |  [ 7  (0,0,-2,-2) ; (-2,0,2,2)  7 ]  | det=1? true
[12] 8 8 -3 0 -2 -2  |  [ 8  (-3,0,-2,-2) ; (-5,0,2,2)  8 ]  | det=1? true
[13] 9 9 -3 -1 -1 -3  |  [ 9  (-3,-1,-1,-3) ; (-6,1,1,3)  9 ]  | det=1? true
[14] 10 10 -3 -1 -2 -3  |  [ 10  (-3,-1,-2,-3) ; (-6,1,2,3)  10 ]  | det=1? true
[15] 11 11 0 0 -2 -4  |  [ 11  (0,0,-2,-4) ; (-4,0,2,4)  11 ]  | det=1? true
[16] 17 17 -4 -2 -2 -6  |  [ 17  (-4,-2,-2,-6) ; (-10,2,2,6)  17 ]  | det=1? true
