p = 71
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 198, targetH = 198, reps_seen = 15428
used: Amax=44, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=858.78 enum=117.71 packets=0.22 reduce=6.01 merge=734.31 setup=577.37 iso=4.38
checks: checked=1198345 merged=15230 slow_count=67 candidates=15428
bounds: old_min=36 old_median=1332 old_max=1584 new_min=10 new_median=14 new_max=36
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 4 5 -1 0 -1 0  |  [ 4  (-1,0,-1,0) ; (-1,0,1,0)  5 ]  | det=1? true
[3] 5 5 -2 0 0 -1  |  [ 5  (-2,0,0,-1) ; (-3,0,0,1)  5 ]  | det=1? true
[4] 5 5 -2 -1 -1 0  |  [ 5  (-2,-1,-1,0) ; (-2,1,1,0)  5 ]  | det=1? true
[5] 3 7 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  7 ]  | det=1? true
[6] 7 7 -3 0 -1 -1  |  [ 7  (-3,0,-1,-1) ; (-4,0,1,1)  7 ]  | det=1? true
[7] 7 7 -2 -2 -1 -1  |  [ 7  (-2,-2,-1,-1) ; (-3,2,1,1)  7 ]  | det=1? true
[8] 5 9 -2 -1 -1 -1  |  [ 5  (-2,-1,-1,-1) ; (-3,1,1,1)  9 ]  | det=1? true
[9] 5 9 -3 -1 -1 1  |  [ 5  (-3,-1,-1,1) ; (-2,1,1,-1)  9 ]  | det=1? true
[10] 8 9 0 1 -2 0  |  [ 8  (0,1,-2,0) ; (0,-1,2,0)  9 ]  | det=1? true
[11] 9 9 -3 1 -2 0  |  [ 9  (-3,1,-2,0) ; (-3,-1,2,0)  9 ]  | det=1? true
[12] 9 9 -2 0 0 -2  |  [ 9  (-2,0,0,-2) ; (-4,0,0,2)  9 ]  | det=1? true
[13] 2 10 -1 0 -1 0  |  [ 2  (-1,0,-1,0) ; (-1,0,1,0)  10 ]  | det=1? true
[14] 9 10 0 1 -2 -1  |  [ 9  (0,1,-2,-1) ; (-1,-1,2,1)  10 ]  | det=1? true
[15] 10 10 -2 -1 -2 -1  |  [ 10  (-2,-1,-2,-1) ; (-3,1,2,1)  10 ]  | det=1? true
[16] 8 11 -4 1 -2 0  |  [ 8  (-4,1,-2,0) ; (-4,-1,2,0)  11 ]  | det=1? true
[17] 9 11 -2 0 -1 -2  |  [ 9  (-2,0,-1,-2) ; (-4,0,1,2)  11 ]  | det=1? true
[18] 9 11 -4 0 -1 2  |  [ 9  (-4,0,-1,2) ; (-2,0,1,-2)  11 ]  | det=1? true
[19] 11 11 -5 0 -2 -1  |  [ 11  (-5,0,-2,-1) ; (-6,0,2,1)  11 ]  | det=1? true
[20] 11 11 -4 -2 -1 -2  |  [ 11  (-4,-2,-1,-2) ; (-6,2,1,2)  11 ]  | det=1? true
[21] 6 12 0 1 -2 0  |  [ 6  (0,1,-2,0) ; (0,-1,2,0)  12 ]  | det=1? true
[22] 8 12 -2 1 -2 -1  |  [ 8  (-2,1,-2,-1) ; (-3,-1,2,1)  12 ]  | det=1? true
[23] 8 12 -1 -1 -1 -2  |  [ 8  (-1,-1,-1,-2) ; (-3,1,1,2)  12 ]  | det=1? true
[24] 8 12 -3 -1 -1 2  |  [ 8  (-3,-1,-1,2) ; (-1,1,1,-2)  12 ]  | det=1? true
[25] 12 12 -6 -5 -2 0  |  [ 12  (-6,-5,-2,0) ; (-6,5,2,0)  12 ]  | det=1? true
[26] 3 13 -1 0 -1 -1  |  [ 3  (-1,0,-1,-1) ; (-2,0,1,1)  13 ]  | det=1? true
[27] 3 13 -2 0 -1 1  |  [ 3  (-2,0,-1,1) ; (-1,0,1,-1)  13 ]  | det=1? true
[28] 7 13 0 0 -1 -2  |  [ 7  (0,0,-1,-2) ; (-2,0,1,2)  13 ]  | det=1? true
[29] 7 13 -2 0 -1 2  |  [ 7  (-2,0,-1,2) ; (0,0,1,-2)  13 ]  | det=1? true
[30] 8 13 -4 -3 -2 0  |  [ 8  (-4,-3,-2,0) ; (-4,3,2,0)  13 ]  | det=1? true
[31] 8 14 -3 -2 -1 -2  |  [ 8  (-3,-2,-1,-2) ; (-5,2,1,2)  14 ]  | det=1? true
[32] 8 14 -5 -2 -1 2  |  [ 8  (-5,-2,-1,2) ; (-3,2,1,-2)  14 ]  | det=1? true
[33] 9 14 -4 -3 -2 -1  |  [ 9  (-4,-3,-2,-1) ; (-5,3,2,1)  14 ]  | det=1? true
[34] 9 14 -5 -3 -2 1  |  [ 9  (-5,-3,-2,1) ; (-4,3,2,-1)  14 ]  | det=1? true
[35] 12 13 -5 -5 -1 -2  |  [ 12  (-5,-5,-1,-2) ; (-7,5,1,2)  13 ]  | det=1? true
[36] 12 13 -2 -1 -2 -2  |  [ 12  (-2,-1,-2,-2) ; (-4,1,2,2)  13 ]  | det=1? true
