p = 47
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 72, targetH = 72, reps_seen = 10712
used: Amax=36, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=198.84 enum=35.37 packets=0.15 reduce=0.72 merge=162.42 setup=114.36 iso=1.74
checks: checked=324811 merged=10640 slow_count=4 candidates=10712
bounds: old_min=24 old_median=720 old_max=864 new_min=8 new_median=12 new_max=24
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 4 4 -1 -1 0 -1  |  [ 4  (-1,-1,0,-1) ; (-2,1,0,1)  4 ]  | det=1? true
[3] 3 5 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  5 ]  | det=1? true
[4] 5 5 0 0 -1 -1  |  [ 5  (0,0,-1,-1) ; (-1,0,1,1)  5 ]  | det=1? true
[5] 2 7 -1 0 -1 0  |  [ 2  (-1,0,-1,0) ; (-1,0,1,0)  7 ]  | det=1? true
[6] 7 7 -3 -3 -1 -1  |  [ 7  (-3,-3,-1,-1) ; (-4,3,1,1)  7 ]  | det=1? true
[7] 7 7 0 0 0 -2  |  [ 7  (0,0,0,-2) ; (-2,0,0,2)  7 ]  | det=1? true
[8] 8 8 -4 1 -2 0  |  [ 8  (-4,1,-2,0) ; (-4,-1,2,0)  8 ]  | det=1? true
[9] 8 8 -3 0 0 -2  |  [ 8  (-3,0,0,-2) ; (-5,0,0,2)  8 ]  | det=1? true
[10] 8 8 -1 0 -1 -2  |  [ 8  (-1,0,-1,-2) ; (-3,0,1,2)  8 ]  | det=1? true
[11] 8 8 -3 0 -1 2  |  [ 8  (-3,0,-1,2) ; (-1,0,1,-2)  8 ]  | det=1? true
[12] 3 9 -1 0 -1 -1  |  [ 3  (-1,0,-1,-1) ; (-2,0,1,1)  9 ]  | det=1? true
[13] 3 9 -2 0 -1 1  |  [ 3  (-2,0,-1,1) ; (-1,0,1,-1)  9 ]  | det=1? true
[14] 7 9 -1 0 -2 -1  |  [ 7  (-1,0,-2,-1) ; (-2,0,2,1)  9 ]  | det=1? true
[15] 9 9 -4 0 -2 -1  |  [ 9  (-4,0,-2,-1) ; (-5,0,2,1)  9 ]  | det=1? true
[16] 9 9 -3 -2 -2 -1  |  [ 9  (-3,-2,-2,-1) ; (-4,2,2,1)  9 ]  | det=1? true
[17] 9 9 -4 -2 -2 1  |  [ 9  (-4,-2,-2,1) ; (-3,2,2,-1)  9 ]  | det=1? true
[18] 5 10 -1 0 -2 0  |  [ 5  (-1,0,-2,0) ; (-1,0,2,0)  10 ]  | det=1? true
[19] 6 10 0 1 -2 -1  |  [ 6  (0,1,-2,-1) ; (-1,-1,2,1)  10 ]  | det=1? true
[20] 6 10 -1 1 -2 1  |  [ 6  (-1,1,-2,1) ; (0,-1,2,-1)  10 ]  | det=1? true
