p = 107
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 581, targetH = 581
used: Amax=92, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=46665.46 enum=7037.66 packets=2.88 reduce=30.21 merge=39584.52 setup=33115.35 iso=227.54
checks: checked=46370722 merged=182208 slow_count=2413 candidates=183762
bounds: old_min=54 old_median=4158 old_max=4968 new_min=12 new_median=18 new_max=54
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[47] 9 15 0 1 -2 -1  |  [ 9  (0,1,-2,-1) ; (-1,-1,2,1)  15 ]  | det=1? true
[48] 9 15 -1 1 -2 1  |  [ 9  (-1,1,-2,1) ; (0,-1,2,-1)  15 ]  | det=1? true
[49] 10 15 -2 -2 -1 -2  |  [ 10  (-2,-2,-1,-2) ; (-4,2,1,2)  15 ]  | det=1? true
[50] 10 15 -4 -2 -1 2  |  [ 10  (-4,-2,-1,2) ; (-2,2,1,-2)  15 ]  | det=1? true
[51] 12 15 -4 -4 -1 -2  |  [ 12  (-4,-4,-1,-2) ; (-6,4,1,2)  15 ]  | det=1? true
[52] 10 16 -4 0 -1 -2  |  [ 10  (-4,0,-1,-2) ; (-6,0,1,2)  16 ]  | det=1? true
[53] 10 16 -6 0 -1 2  |  [ 10  (-6,0,-1,2) ; (-4,0,1,-2)  16 ]  | det=1? true
[54] 15 16 -4 1 -2 -2  |  [ 15  (-4,1,-2,-2) ; (-6,-1,2,2)  16 ]  | det=1? true
[55] 15 16 -6 1 -2 2  |  [ 15  (-6,1,-2,2) ; (-4,-1,2,-2)  16 ]  | det=1? true
[56] 17 17 -4 1 -3 -1  |  [ 17  (-4,1,-3,-1) ; (-5,-1,3,1)  17 ]  | det=1? true
[57] 17 17 -5 1 -3 1  |  [ 17  (-5,1,-3,1) ; (-4,-1,3,-1)  17 ]  | det=1? true
[58] 17 17 -3 0 -1 -3  |  [ 17  (-3,0,-1,-3) ; (-6,0,1,3)  17 ]  | det=1? true
[59] 17 17 -6 0 -1 3  |  [ 17  (-6,0,-1,3) ; (-3,0,1,-3)  17 ]  | det=1? true
[60] 15 17 -5 -1 -2 -2  |  [ 15  (-5,-1,-2,-2) ; (-7,1,2,2)  17 ]  | det=1? true
[61] 17 17 -6 -4 -2 -2  |  [ 17  (-6,-4,-2,-2) ; (-8,4,2,2)  17 ]  | det=1? true
[62] 17 17 -8 -4 -2 2  |  [ 17  (-8,-4,-2,2) ; (-6,4,2,-2)  17 ]  | det=1? true
[63] 14 18 -5 0 -2 -2  |  [ 14  (-5,0,-2,-2) ; (-7,0,2,2)  18 ]  | det=1? true
[64] 17 18 -12 -1 -1 -2  |  [ 17  (-12,-1,-1,-2) ; (-14,1,1,2)  18 ]  | det=1? true
[65] 9 17 -5 -1 -1 2  |  [ 9  (-5,-1,-1,2) ; (-3,1,1,-2)  17 ]  | det=1? true
[66] 6 18 0 1 -2 0  |  [ 6  (0,1,-2,0) ; (0,-1,2,0)  18 ]  | det=1? true
[67] 12 18 0 1 -2 -2  |  [ 12  (0,1,-2,-2) ; (-2,-1,2,2)  18 ]  | det=1? true
[68] 16 18 -7 -2 -2 -2  |  [ 16  (-7,-2,-2,-2) ; (-9,2,2,2)  18 ]  | det=1? true
[69] 16 18 -9 -2 -2 2  |  [ 16  (-9,-2,-2,2) ; (-7,2,2,-2)  18 ]  | det=1? true
[70] 9 19 -4 -3 -2 -1  |  [ 9  (-4,-3,-2,-1) ; (-5,3,2,1)  19 ]  | det=1? true
[71] 9 19 -5 -3 -2 1  |  [ 9  (-5,-3,-2,1) ; (-4,3,2,-1)  19 ]  | det=1? true
[72] 19 19 -7 -4 -1 -3  |  [ 19  (-7,-4,-1,-3) ; (-10,4,1,3)  19 ]  | det=1? true
[73] 19 19 -10 -4 -1 3  |  [ 19  (-10,-4,-1,3) ; (-7,4,1,-3)  19 ]  | det=1? true
[74] 14 20 -6 -3 -2 -2  |  [ 14  (-6,-3,-2,-2) ; (-8,3,2,2)  20 ]  | det=1? true
[75] 14 20 -8 -3 -2 2  |  [ 14  (-8,-3,-2,2) ; (-6,3,2,-2)  20 ]  | det=1? true
[76] 18 20 -2 0 -3 -2  |  [ 18  (-2,0,-3,-2) ; (-4,0,3,2)  20 ]  | det=1? true
[77] 18 20 -4 0 -3 2  |  [ 18  (-4,0,-3,2) ; (-2,0,3,-2)  20 ]  | det=1? true
[78] 19 20 -4 0 -2 -3  |  [ 19  (-4,0,-2,-3) ; (-7,0,2,3)  20 ]  | det=1? true
[79] 20 20 -5 -2 -2 -3  |  [ 20  (-5,-2,-2,-3) ; (-8,2,2,3)  20 ]  | det=1? true
[80] 20 20 -8 -2 -2 3  |  [ 20  (-8,-2,-2,3) ; (-5,2,2,-3)  20 ]  | det=1? true
[81] 11 20 -1 0 -2 -2  |  [ 11  (-1,0,-2,-2) ; (-3,0,2,2)  20 ]  | det=1? true
[82] 11 20 -3 0 -2 2  |  [ 11  (-3,0,-2,2) ; (-1,0,2,-2)  20 ]  | det=1? true
[83] 19 20 -7 0 -2 3  |  [ 19  (-7,0,-2,3) ; (-4,0,2,-3)  20 ]  | det=1? true
[84] 19 20 -4 -1 -3 -2  |  [ 19  (-4,-1,-3,-2) ; (-6,1,3,2)  20 ]  | det=1? true
[85] 19 20 -6 -1 -3 2  |  [ 19  (-6,-1,-3,2) ; (-4,1,3,-2)  20 ]  | det=1? true
[86] 3 19 -1 0 -1 -1  |  [ 3  (-1,0,-1,-1) ; (-2,0,1,1)  19 ]  | det=1? true
[87] 3 19 -2 0 -1 1  |  [ 3  (-2,0,-1,1) ; (-1,0,1,-1)  19 ]  | det=1? true
[88] 12 19 -2 -1 -2 -2  |  [ 12  (-2,-1,-2,-2) ; (-4,1,2,2)  19 ]  | det=1? true
[89] 12 19 -4 -1 -2 2  |  [ 12  (-4,-1,-2,2) ; (-2,1,2,-2)  19 ]  | det=1? true
[90] 17 19 -6 -2 -3 -1  |  [ 17  (-6,-2,-3,-1) ; (-7,2,3,1)  19 ]  | det=1? true
[91] 17 19 -7 -2 -3 1  |  [ 17  (-7,-2,-3,1) ; (-6,2,3,-1)  19 ]  | det=1? true
[92] 17 19 -5 -3 -1 -3  |  [ 17  (-5,-3,-1,-3) ; (-8,3,1,3)  19 ]  | det=1? true
[93] 17 19 -8 -3 -1 3  |  [ 17  (-8,-3,-1,3) ; (-5,3,1,-3)  19 ]  | det=1? true
[94] 19 19 -8 -3 -3 -1  |  [ 19  (-8,-3,-3,-1) ; (-9,3,3,1)  19 ]  | det=1? true
[95] 19 19 -9 -3 -3 1  |  [ 19  (-9,-3,-3,1) ; (-8,3,3,-1)  19 ]  | det=1? true
[96] 12 20 -4 1 -2 -2  |  [ 12  (-4,1,-2,-2) ; (-6,-1,2,2)  20 ]  | det=1? true
[97] 12 20 -6 1 -2 2  |  [ 12  (-6,1,-2,2) ; (-4,-1,2,-2)  20 ]  | det=1? true
[98] 12 20 -3 -2 -2 -2  |  [ 12  (-3,-2,-2,-2) ; (-5,2,2,2)  20 ]  | det=1? true
[99] 12 20 -5 -2 -2 2  |  [ 12  (-5,-2,-2,2) ; (-3,2,2,-2)  20 ]  | det=1? true
[100] 20 20 -6 0 -3 -2  |  [ 20  (-6,0,-3,-2) ; (-8,0,3,2)  20 ]  | det=1? true
[101] 20 20 -8 0 -3 2  |  [ 20  (-8,0,-3,2) ; (-6,0,3,-2)  20 ]  | det=1? true
[102] 19 19 -9 0 -3 -1  |  [ 19  (-9,0,-3,-1) ; (-10,0,3,1)  19 ]  | det=1? true
[103] 19 19 -2 1 -2 -3  |  [ 19  (-2,1,-2,-3) ; (-5,-1,2,3)  19 ]  | det=1? true
[104] 19 19 -5 1 -2 3  |  [ 19  (-5,1,-2,3) ; (-2,-1,2,-3)  19 ]  | det=1? true
[105] 21 21 -6 -5 -2 -3  |  [ 21  (-6,-5,-2,-3) ; (-9,5,2,3)  21 ]  | det=1? true
