p = 59
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 125, targetH = 125, reps_seen = 6896
used: Amax=34, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=188.17 enum=27.52 packets=0.11 reduce=1.05 merge=159.33 setup=120.05 iso=0.99
checks: checked=335866 merged=6771 slow_count=7 candidates=6896
bounds: old_min=30 old_median=870 old_max=1020 new_min=8 new_median=12 new_max=30
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 4 4 0 0 0 -1  |  [ 4  (0,0,0,-1) ; (-1,0,0,1)  4 ]  | det=1? true
[3] 4 5 -2 0 -1 0  |  [ 4  (-2,0,-1,0) ; (-2,0,1,0)  5 ]  | det=1? true
[4] 3 6 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  6 ]  | det=1? true
[5] 5 7 -1 -1 -1 -1  |  [ 5  (-1,-1,-1,-1) ; (-2,1,1,1)  7 ]  | det=1? true
[6] 7 7 -3 -2 -1 -1  |  [ 7  (-3,-2,-1,-1) ; (-4,2,1,1)  7 ]  | det=1? true
[7] 7 7 -4 -2 -1 1  |  [ 7  (-4,-2,-1,1) ; (-3,2,1,-1)  7 ]  | det=1? true
[8] 2 8 0 0 0 -1  |  [ 2  (0,0,0,-1) ; (-1,0,0,1)  8 ]  | det=1? true
[9] 8 8 -2 1 -2 0  |  [ 8  (-2,1,-2,0) ; (-2,-1,2,0)  8 ]  | det=1? true
[10] 9 9 -2 1 -2 -1  |  [ 9  (-2,1,-2,-1) ; (-3,-1,2,1)  9 ]  | det=1? true
[11] 9 9 -3 1 -2 1  |  [ 9  (-3,1,-2,1) ; (-2,-1,2,-1)  9 ]  | det=1? true
[12] 9 9 -1 -1 -1 -2  |  [ 9  (-1,-1,-1,-2) ; (-3,1,1,2)  9 ]  | det=1? true
[13] 9 9 -3 -1 -1 2  |  [ 9  (-3,-1,-1,2) ; (-1,1,1,-2)  9 ]  | det=1? true
[14] 6 10 0 1 -2 0  |  [ 6  (0,1,-2,0) ; (0,-1,2,0)  10 ]  | det=1? true
[15] 7 10 -2 -1 0 -2  |  [ 7  (-2,-1,0,-2) ; (-4,1,0,2)  10 ]  | det=1? true
[16] 8 10 -3 -2 0 -2  |  [ 8  (-3,-2,0,-2) ; (-5,2,0,2)  10 ]  | det=1? true
[17] 9 10 -2 -2 -1 -2  |  [ 9  (-2,-2,-1,-2) ; (-4,2,1,2)  10 ]  | det=1? true
