p = 179
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2404, targetH = 2404
used: Amax=128, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=236150.09 enum=70289.32 packets=14.11 reduce=102.36 merge=165696.1 setup=1437.9 iso=95.51
checks: packet_checked=620557 packet_merged=397527 f1_checked=159810194 f1_merged=398715 f1_classes=1216 slow_count=5 candidates=403784
bounds: old_min=90 old_median=9720 old_max=11520 new_min=14 new_median=22 new_max=90
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[46] 13 18 -4 0 -1 2  |  [ 13  (-4,0,-1,2) ; (-2,0,1,-2)  18 ]  | det=1? true
[47] 13 18 -2 0 -1 -2  |  [ 13  (-2,0,-1,-2) ; (-4,0,1,2)  18 ]  | det=1? true
[48] 11 19 -4 -2 0 -2  |  [ 11  (-4,-2,0,-2) ; (-6,2,0,2)  19 ]  | det=1? true
[49] 18 19 -9 -8 -2 0  |  [ 18  (-9,-8,-2,0) ; (-9,8,2,0)  19 ]  | det=1? true
[50] 19 19 0 0 -2 -2  |  [ 19  (0,0,-2,-2) ; (-2,0,2,2)  19 ]  | det=1? true
[51] 14 20 -6 -2 -1 -2  |  [ 14  (-6,-2,-1,-2) ; (-8,2,1,2)  20 ]  | det=1? true
[52] 14 20 -8 -2 -1 2  |  [ 14  (-8,-2,-1,2) ; (-6,2,1,-2)  20 ]  | det=1? true
[53] 9 20 0 1 -2 0  |  [ 9  (0,1,-2,0) ; (0,-1,2,0)  20 ]  | det=1? true
[54] 10 20 -3 -2 0 -2  |  [ 10  (-3,-2,0,-2) ; (-5,2,0,2)  20 ]  | det=1? true
[55] 14 20 -5 -4 -2 -1  |  [ 14  (-5,-4,-2,-1) ; (-6,4,2,1)  20 ]  | det=1? true
[56] 20 20 -4 -3 -2 -2  |  [ 20  (-4,-3,-2,-2) ; (-6,3,2,2)  20 ]  | det=1? true
[57] 20 20 -6 -3 -2 2  |  [ 20  (-6,-3,-2,2) ; (-4,3,2,-2)  20 ]  | det=1? true
[58] 10 19 -2 -1 0 -2  |  [ 10  (-2,-1,0,-2) ; (-4,1,0,2)  19 ]  | det=1? true
[59] 11 19 -5 -1 -2 0  |  [ 11  (-5,-1,-2,0) ; (-5,1,2,0)  19 ]  | det=1? true
[60] 15 19 -7 -1 -2 -1  |  [ 15  (-7,-1,-2,-1) ; (-8,1,2,1)  19 ]  | det=1? true
[61] 15 19 -8 -1 -2 1  |  [ 15  (-8,-1,-2,1) ; (-7,1,2,-1)  19 ]  | det=1? true
[62] 5 19 -1 -1 -1 -1  |  [ 5  (-1,-1,-1,-1) ; (-2,1,1,1)  19 ]  | det=1? true
[63] 12 19 -1 0 -2 -1  |  [ 12  (-1,0,-2,-1) ; (-2,0,2,1)  19 ]  | det=1? true
[64] 12 19 -2 0 -2 1  |  [ 12  (-2,0,-2,1) ; (-1,0,2,-1)  19 ]  | det=1? true
[65] 13 19 -3 -2 -1 -2  |  [ 13  (-3,-2,-1,-2) ; (-5,2,1,2)  19 ]  | det=1? true
[66] 13 19 -5 -2 -1 2  |  [ 13  (-5,-2,-1,2) ; (-3,2,1,-2)  19 ]  | det=1? true
[67] 16 19 -6 -5 -1 -2  |  [ 16  (-6,-5,-1,-2) ; (-8,5,1,2)  19 ]  | det=1? true
[68] 16 19 -8 -5 -1 2  |  [ 16  (-8,-5,-1,2) ; (-6,5,1,-2)  19 ]  | det=1? true
[69] 19 19 -8 -7 -2 -1  |  [ 19  (-8,-7,-2,-1) ; (-9,7,2,1)  19 ]  | det=1? true
[70] 19 19 -9 -7 -2 1  |  [ 19  (-9,-7,-2,1) ; (-8,7,2,-1)  19 ]  | det=1? true
[71] 12 20 -2 -2 -1 -2  |  [ 12  (-2,-2,-1,-2) ; (-4,2,1,2)  20 ]  | det=1? true
[72] 12 20 -4 -2 -1 2  |  [ 12  (-4,-2,-1,2) ; (-2,2,1,-2)  20 ]  | det=1? true
[73] 9 21 -2 0 0 -2  |  [ 9  (-2,0,0,-2) ; (-4,0,0,2)  21 ]  | det=1? true
[74] 11 21 -2 1 -2 -1  |  [ 11  (-2,1,-2,-1) ; (-3,-1,2,1)  21 ]  | det=1? true
[75] 11 21 -3 1 -2 1  |  [ 11  (-3,1,-2,1) ; (-2,-1,2,-1)  21 ]  | det=1? true
[76] 18 21 -8 -8 -1 -2  |  [ 18  (-8,-8,-1,-2) ; (-10,8,1,2)  21 ]  | det=1? true
[77] 18 21 -10 -8 -1 2  |  [ 18  (-10,-8,-1,2) ; (-8,8,1,-2)  21 ]  | det=1? true
[78] 19 21 -5 -1 -2 -2  |  [ 19  (-5,-1,-2,-2) ; (-7,1,2,2)  21 ]  | det=1? true
[79] 9 22 -3 -2 -2 0  |  [ 9  (-3,-2,-2,0) ; (-3,2,2,0)  22 ]  | det=1? true
[80] 12 21 -6 -5 -2 0  |  [ 12  (-6,-5,-2,0) ; (-6,5,2,0)  21 ]  | det=1? true
[81] 20 21 -5 -4 -2 -2  |  [ 20  (-5,-4,-2,-2) ; (-7,4,2,2)  21 ]  | det=1? true
[82] 20 21 -7 -4 -2 2  |  [ 20  (-7,-4,-2,2) ; (-5,4,2,-2)  21 ]  | det=1? true
[83] 12 22 -5 -2 -2 -1  |  [ 12  (-5,-2,-2,-1) ; (-6,2,2,1)  22 ]  | det=1? true
[84] 12 22 -6 -2 -2 1  |  [ 12  (-6,-2,-2,1) ; (-5,2,2,-1)  22 ]  | det=1? true
[85] 13 21 -5 -3 -1 -2  |  [ 13  (-5,-3,-1,-2) ; (-7,3,1,2)  21 ]  | det=1? true
[86] 13 21 -7 -3 -1 2  |  [ 13  (-7,-3,-1,2) ; (-5,3,1,-2)  21 ]  | det=1? true
[87] 21 21 -8 0 -2 -2  |  [ 21  (-8,0,-2,-2) ; (-10,0,2,2)  21 ]  | det=1? true
[88] 18 22 -5 0 -2 -2  |  [ 18  (-5,0,-2,-2) ; (-7,0,2,2)  22 ]  | det=1? true
[89] 22 22 -9 -4 -2 -2  |  [ 22  (-9,-4,-2,-2) ; (-11,4,2,2)  22 ]  | det=1? true
[90] 22 22 -11 -4 -2 2  |  [ 22  (-11,-4,-2,2) ; (-9,4,2,-2)  22 ]  | det=1? true
[91] 11 21 -1 -1 -1 -2  |  [ 11  (-1,-1,-1,-2) ; (-3,1,1,2)  21 ]  | det=1? true
[92] 11 21 -3 -1 -1 2  |  [ 11  (-3,-1,-1,2) ; (-1,1,1,-2)  21 ]  | det=1? true
[93] 12 21 -4 -1 -1 -2  |  [ 12  (-4,-1,-1,-2) ; (-6,1,1,2)  21 ]  | det=1? true
[94] 12 21 -6 -1 -1 2  |  [ 12  (-6,-1,-1,2) ; (-4,1,1,-2)  21 ]  | det=1? true
[95] 15 22 -7 -6 -2 -1  |  [ 15  (-7,-6,-2,-1) ; (-8,6,2,1)  22 ]  | det=1? true
[96] 14 21 -6 -4 -1 -2  |  [ 14  (-6,-4,-1,-2) ; (-8,4,1,2)  21 ]  | det=1? true
[97] 14 21 -8 -4 -1 2  |  [ 14  (-8,-4,-1,2) ; (-6,4,1,-2)  21 ]  | det=1? true
[98] 23 23 -10 -6 -2 -2  |  [ 23  (-10,-6,-2,-2) ; (-12,6,2,2)  23 ]  | det=1? true
[99] 23 23 -12 -6 -2 2  |  [ 23  (-12,-6,-2,2) ; (-10,6,2,-2)  23 ]  | det=1? true
[100] 17 24 -2 1 -3 0  |  [ 17  (-2,1,-3,0) ; (-2,-1,3,0)  24 ]  | det=1? true
[101] 18 24 -4 -2 -3 0  |  [ 18  (-4,-2,-3,0) ; (-4,2,3,0)  24 ]  | det=1? true
[102] 21 24 -8 -7 -2 -2  |  [ 21  (-8,-7,-2,-2) ; (-10,7,2,2)  24 ]  | det=1? true
[103] 21 24 -10 -7 -2 2  |  [ 21  (-10,-7,-2,2) ; (-8,7,2,-2)  24 ]  | det=1? true
[104] 24 24 -10 -7 -3 0  |  [ 24  (-10,-7,-3,0) ; (-10,7,3,0)  24 ]  | det=1? true
